Designator	Mid X	Mid Y	Layer	Rotation
C1	17.78	37.15	Top	0
C2	16.83	34.93	Top	0
C3	25.72	37.47	Top	0
C4	17.78	28.89	Top	0
C5	16.83	31.12	Top	0
C6	25.72	28.58	Top	0
C7	49.85	37.78	Top	0
C8	47.63	34.61	Top	0
C9	41.91	37.78	Top	0
C10	49.85	28.26	Top	0
C11	47.63	31.43	Top	0
C12	41.91	28.26	Top	0
C13	16.83	13.65	Top	90
C14	5.71	43.18	Top	0
C15	26.67	33.02	Top	0
C16	19.05	17.46	Top	0
C18	19.05	19.69	Top	0
D1	19.05	46.36	Top	90
IC1	33.02	33.02	Top	270
IC2	21.3	13.65	Top	180
R1	21.91	37.47	Top	0
R2	25.72	35.24	Top	0
R3	21.91	35.24	Top	0
R4	21.91	28.58	Top	0
R5	25.72	30.8	Top	0
R6	21.91	30.8	Top	0
R7	52.39	34.61	Top	0
R8	40.64	34.93	Top	90
R9	43.5	34.93	Top	90
R10	38.1	36.2	Top	90
R11	46.36	37.78	Top	0
R12	52.39	31.43	Top	0
R13	40.64	31.12	Top	90
R14	43.5	31.12	Top	90
R15	38.1	29.85	Top	90
R16	46.36	28.26	Top	0
R17	40.64	5.71	Top	90
R18	38.1	5.71	Top	90
