Designator	Mid X	Mid Y	Layer	Rotation
C1	72.39	16.51	Top	90
C2	13.34	14.29	Top	90
C3	73.03	19.37	Top	0
C4	74.61	16.19	Top	90
C5	11.11	14.29	Top	90
C6	21.91	8.26	Top	0
C7	76.2	21.59	Top	0
C8	18.73	15.24	Top	0
C9	88.27	21.59	Top	0
C10	30.16	18.41	Top	0
C12	68.9	28.58	Top	0
C15	80.33	23.5	Top	90
C16	27.62	12.07	Top	90
C17	81.92	10.16	Top	0
C18	32.07	15.56	Top	90
C19	97.16	10.48	Top	0
C20	35.88	15.56	Top	0
C21	101.6	20	Top	90
C22	91.44	21.59	Top	90
C23	97.16	15.56	Top	90
D1	24.77	24.13	Top	180
D2	24.77	26.67	Top	0
D3	19.69	24.13	Top	180
D4	84.45	30.16	Top	180
D5	19.69	26.67	Top	0
D6	28.58	25.4	Top	90
D7	84.45	27.62	Top	0
D8	79.38	30.16	Top	180
D9	79.38	27.62	Top	0
IC1	24.77	16.51	Top	270
IC2	81.92	19.05	Top	270
Q1	94.3	21.59	Top	270
R1	74.61	12.38	Top	90
R2	73.03	21.59	Top	0
R3	76.84	16.51	Top	90
R4	76.2	19.37	Top	0
R5	21.91	6.03	Top	0
R6	13.34	18.1	Top	90
R7	73.03	23.81	Top	0
R8	18.73	13.02	Top	0
R9	18.73	18.1	Top	0
R10	88.27	17.14	Top	0
R11	81.92	12.38	Top	0
R12	73.03	26.04	Top	0
R13	18.73	20.32	Top	0
R14	73.03	28.58	Top	0
R15	21.91	12.07	Top	90
R16	88.27	23.81	Top	0
R17	15.56	14.29	Top	90
R18	83.5	23.5	Top	90
R19	29.85	12.07	Top	90
R20	81.92	14.61	Top	0
R21	25.4	12.07	Top	90
R22	81.92	7.94	Top	0
R23	29.85	15.56	Top	90
R24	93.98	10.48	Top	0
R25	40.01	15.56	Top	0
R26	99.38	23.18	Top	90
R27	97.16	23.18	Top	90
R28	88.27	19.37	Top	0
R29	99.38	20	Top	90
R30	97.16	20	Top	90
