Designator,Mid X,Mid Y,Layer,Rotation
C1,32.7,10.79,Top,0
C2,26.99,18.73,Top,0
C3,13.97,12.7,Top,90
C5,16.51,16.83,Top,90
C7,24.77,11.11,Top,0
C8,27.94,13.97,Top,0
D1,20.32,7.3,Top,0
D2,15.56,20.32,Top,180
D3,15.56,25.4,Top,0
D4,15.56,22.86,Top,180
D5,10.79,21.59,Top,0
D6,20.32,24.13,Top,180
IC1,21.59,15.24,Top,270
R1,9.53,2.54,Top,0
R2,26.99,20.96,Top,0
R3,21.59,11.11,Top,0
R4,10.79,25.4,Top,0
R5,16.51,13.65,Top,90
R6,26.99,16.19,Top,0
R7,32.7,8.57,Top,0
R8,13.97,16.83,Top,90
R9,32.7,13.97,Top,0
