Comment,Designator,Footprint,JLCPCB Part #（optional）
100n,C1,CAP_C1206,C338082
100n,C2,CAP_C1206,C338082
100n,C3,CAP_C1206,C338082
100n,C4,CAP_C1206,C338082
100n,C5,CAP_C1206,C338082
100n,C6,CAP_C1206,C338082
100n,C7,CAP_C1206,C338082
12n,C8,CAP_C0603,C2178767
3n9,C9,CAP_C1206,C541503
470p,C10,CAP_C0603,C27694
470p,C11,CAP_C0603,C27694
470p,C12,CAP_C0603,C27694
100n,C13,CAP_C1206,C338082
100n,CX1,CAP_C0603,C14663
1N4148W,D1,SODFL3816X120N,C81598
1N4148W,D2,SODFL3816X120N,C81598
1N4148W,D3,SODFL3816X120N,C81598
1N4148W,D4,SODFL3816X120N,C81598
SM5817PL-TP,DX1,SOD3716X120N,C7420328
MMBT3904,Q1,TRANSISTOR_SOT23-BEC,C20526
MMBT3904,Q2,TRANSISTOR_SOT23-BEC,C20526
MMBT3904,Q3,TRANSISTOR_SOT23-BEC,C20526
MMBT3904,Q4,TRANSISTOR_SOT23-BEC,C20526
33K,R2,RESISTOR_R0603,C4216
100K,R3,RESISTOR_R0603,C25803
2K7,R4,RESISTOR_R0603,C13167
33K,R5,RESISTOR_R0603,C4216
10K,R6,RESISTOR_R0603,C25804
470K,R7,RESISTOR_R0603,C23178
33K,R8,RESISTOR_R0603,C4216
470K,R9,RESISTOR_R0603,C23178
100R,R10,RESISTOR_R0603,C22775
10K,R11,RESISTOR_R0603,C25804
10K,R12,RESISTOR_R0603,C25804
10K,R13,RESISTOR_R0603,C25804
100K,R14,RESISTOR_R0603,C25803
470K,R15,RESISTOR_R0603,C23178
100K,R16,RESISTOR_R0603,C25803
470K,R17,RESISTOR_R0603,C23178
10K,R18,RESISTOR_R0603,C25804
10K,R19,RESISTOR_R0603,C25804
100K,R20,RESISTOR_R0603,C25803
100R,R21,RESISTOR_R0603,C22775
100R,R22,RESISTOR_R0603,C22775
560R,R23,RESISTOR_R0603,C23204
2M,RX1,RESISTOR_R0603,C22976
100R,RX2,RESISTOR_R0603,C22775
